Name,Years,Position,Party,State,Congress,Link
"DOUGLAS, Beverly Browne",1822-1878,Representative,Democrat,VA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000450
"DUNNELL, Mark Hill",1823-1904,Representative,Republican,MN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000555
"DURAND, George Harman",1838-1903,Representative,Democrat,MI,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000562
"DURHAM, Milton Jameson",1824-1911,Representative,Democrat,KY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000572
"EAMES, Benjamin Tucker",1818-1901,Representative,Republican,RI,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000005
"EATON, William Wallace",1816-1898,Senator,Democrat,CT,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000028
"EDEN, John Rice",1826-1909,Representative,Democrat,IL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000042
"EDMUNDS, George Franklin",1828-1919,Senator,Republican,VT,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000056
"EGBERT, Albert Gallatin",1828-1896,Representative,Democrat,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000087
"ELKINS, Stephen Benton",1841-1911,Delegate,Republican,NM,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000110
"ELLIS, Ezekiel John",1840-1889,Representative,Democrat,LA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000134
"ELY, Smith, Jr.",1825-1911,Representative,Democrat,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000167
"ENGLISH, James Edward",1812-1890,Senator,Democrat,CT,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000185
"EUSTIS, James Biddle",1834-1899,Senator,Democrat,LA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000229
"EVANS, James La Fayette",1825-1903,Representative,Republican,IN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000245
"FARWELL, Charles Benjamin",1823-1903,Representative,Republican,IL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000037
"FAULKNER, Charles James",1806-1884,Representative,Democrat,WV,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000044
"FELTON, William Harrell",1823-1909,Representative,Independent Democrat,GA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000070
"FENN, Stephen Southmyd",1820-1892,Delegate,Democrat,ID,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000073
"FERRY, Orris Sanford",1823-1875,Senator,Republican,CT,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000094
"FERRY, Thomas White",1827-1896,Senator,Republican,MI,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000095
"FIELD, David Dudley",1805-1894,Representative,Democrat,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000104
"FINLEY, Jesse Johnson",1812-1904,Representative,Democrat,FL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000134
"FITE, Samuel McClary",1816-1875,Representative,Democrat,TN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000160
"FLYE, Edwin",1817-1886,Representative,Republican,ME,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000225
"FORNEY, William Henry",1823-1894,Representative,Democrat,AL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000280
"FORT, Greenbury Lafayette",1825-1883,Representative,Republican,IL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000288
"FOSTER, Charles",1828-1904,Representative,Republican,OH,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000299
"FRANKLIN, Benjamin Joseph",1839-1898,Representative,Democrat,MO,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000343
"FREEMAN, Chapman",1832-1904,Representative,Republican,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000361
"FRELINGHUYSEN, Frederick Theodore",1817-1885,Senator,Republican,NJ,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000369
"FROST, Rufus Smith",1826-1894,Representative,Republican,MA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000394
"FRYE, William Pierce",1830-1911,Representative,Republican,ME,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000398
"FULLER, Benoni Stinson",1825-1903,Representative,Democrat,IN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000406
"GARFIELD, James Abram",1831-1881,Representative,Republican,OH,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000063
"GAUSE, Lucien Coatsworth",1836-1880,Representative,Democrat,AR,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000100
"GIBSON, Randall Lee",1832-1892,Representative,Democrat,LA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000165
"GLOVER, John Montgomery",1822-1891,Representative,Democrat,MO,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000245
"GOLDTHWAITE, George",1809-1879,Senator,Democrat,AL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000266
"GOODE, John, Jr.",1829-1909,Representative,Democrat,VA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000277
"GOODIN, John Randolph",1836-1885,Representative,Democrat,KS,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000287
"GORDON, John Brown",1832-1904,Senator,Democrat,GA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000313
"GUNTER, Thomas Montague",1826-1904,Representative,Democrat,AR,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000527
"HALE, Eugene",1836-1918,Representative,Republican,ME,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000029
"HAMILTON, Andrew Holman",1834-1895,Representative,Democrat,IN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000102
"HAMILTON, Morgan Calvin",1809-1893,Senator,Republican,TX,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000115
"HAMILTON, Robert",1809-1878,Representative,Democrat,NJ,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000117
"HAMLIN, Hannibal",1809-1891,Senator,Republican,ME,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000121
"HANCOCK, John",1824-1893,Representative,Democrat,TX,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000150
"HARALSON, Jeremiah",1846-1916,Representative,Republican,AL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000179
"HARDENBERGH, Augustus Albert",1830-1889,Representative,Democrat,NJ,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000183
"HARRIS, Benjamin Winslow",1823-1907,Representative,Republican,MA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000233
"HARRIS, Henry Richard",1828-1909,Representative,Democrat,GA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000239
"HARRIS, John Thomas",1823-1899,Representative,Democrat,VA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000247
"HARRISON, Carter Henry",1825-1893,Representative,Democrat,IL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000267
"HARTRIDGE, Julian",1829-1879,Representative,Democrat,GA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000303
"HARTZELL, William",1837-1903,Representative,Democrat,IL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000304
"HARVEY, James Madison",1833-1894,Senator,Republican,KS,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000307
"HATCHER, Robert Anthony",1819-1886,Representative,Democrat,MO,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000341
"HATHORN, Henry Harrison",1813-1887,Representative,Republican,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000347
"HAYMOND, William Summerville",1823-1885,Representative,Democrat,IN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000396
"HAYS, Charles",1834-1879,Representative,Republican,AL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000402
"HENDEE, George Whitman",1832-1906,Representative,Republican,VT,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000474
"HENDERSON, Thomas Jefferson",1824-1911,Representative,Republican,IL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000489
"HENKLE, Eli Jones",1828-1893,Representative,Democrat,MD,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000497
"HEREFORD, Frank",1825-1891,Representative,Democrat,WV,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000527
 ,,Senator,Democrat,WV,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000527
"HEWITT, Abram Stevens",1822-1903,Representative,Democrat,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000552
"HEWITT, Goldsmith Whitehouse",1834-1895,Representative,Democrat,AL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000553
"HILL, Benjamin Harvey",1823-1882,Representative,Democrat,GA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000587
"HITCHCOCK, Phineas Warren",1831-1881,Senator,Republican,NE,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000648
"HOAR, George Frisbie",1826-1904,Representative,Republican,MA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000654
"HOGE, Solomon Lafayette",1836-1909,Representative,Republican,SC,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000698
"HOLMAN, William Steele",1822-1897,Representative,Democrat,IN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000732
"HOOKER, Charles Edward",1825-1914,Representative,Democrat,MS,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000758
"HOPKINS, James Herron",1832-1904,Representative,Democrat,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000775
"HOSKINS, George Gilbert",1824-1893,Representative,Republican,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000801
"HOUSE, John Ford",1827-1904,Representative,Democrat,TN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000819
"HOWE, Timothy Otis",1816-1883,Senator,Republican,WI,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000856
"HUBBELL, Jay Abel",1829-1900,Representative,Republican,MI,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000894
"HUMPHREYS, Andrew",1821-1904,Representative,Democrat,IN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000959
"HUNTER, Morton Craig",1825-1896,Representative,Republican,IN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000985
"HUNTON, Eppa",1822-1908,Representative,Democrat,VA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000999
"HURD, Frank Hunt",1840-1896,Representative,Democrat,OH,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001002
"HURLBUT, Stephen Augustus",1815-1882,Representative,Republican,IL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001003
"HYMAN, John Adams",1840-1891,Representative,Republican,NC,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=H001025
"INGALLS, John James",1833-1900,Senator,Republican,KS,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=I000012
"JACOBS, Orange",1827-1914,Delegate,Republican,WA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000037
"JENKS, George Augustus",1836-1908,Representative,Democrat,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000091
"JOHNSON, Andrew",1808-1875,Senator,Democrat,TN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000116
"JOHNSTON, John Warfield",1818-1889,Senator,Democrat,VA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000191
"JONES, Charles William",1834-1897,Senator,Democrat,FL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000214
"JONES, Frank",1832-1902,Representative,Democrat,NH,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000219
"JONES, John Percival",1829-1912,Senator,Republican,NV,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000237
